ticker,n_buy,n_sell,cum_return_predicted(%),cum_return_benchmark(%),outperform(%)
1216,14,13,57.27226239489931,-2.8985507246377606,60.170813119537065
1590,13,12,125.71374042607376,93.07161403430896,32.64212639176479
2207,14,14,85.12816189861638,-10.468750000000071,95.59691189861645
2308,12,11,185.29868761595472,76.15658362989276,109.14210398606195
2330,18,17,155.8784289536881,79.2332268370602,76.64520211662789
2357,20,19,83.4558724010692,84.89583333333306,-1.4399609322638582
2395,22,21,63.14898904902526,42.12587738007496,21.0231116689503
2603,15,15,993.5734153630974,1251.6160626836447,-258.0426473205473
2609,19,18,606.9503655877296,1562.0879120879113,-955.1375465001817
2801,19,18,29.23309148083497,-11.582459485223984,40.81555096605896
2880,19,18,46.2528610039725,20.522006141248795,25.730854862723703
2881,14,14,97.76462495020878,96.12526539278127,1.639359557427511
2912,15,15,12.548145056650672,-4.920913884006984,17.469058940657654
3008,16,16,49.776160664956116,-65.9660830093499,115.74224367430602
3034,11,11,128.71766639021112,106.46639511201599,22.251271278195134
3037,22,21,1472.626609957717,402.18871595330796,1070.437894004409
4904,11,10,45.700329347702166,16.869300911854456,28.83102843584771
2352,12,12,249.49551574600184,71.65354330708622,177.8419724389156
2408,17,17,242.83726057633666,-23.326523254416298,266.16378383075295
2409,17,16,134.81598609953568,86.80203045685239,48.013955642683285
2412,16,16,6.377230223927466,28.75111419233405,-22.373883968406584
2002,19,19,29.687487136380074,65.94827586206924,-36.26078872568917
1101,15,15,73.04851980029501,27.71216698709167,45.33635281320334
5871,13,12,275.3395365886814,110.8948087431692,164.44472784551223
6505,14,13,71.65998215177713,-2.8674214368850315,74.52740358866217
8454,18,18,840.8647601162974,354.8719176442423,485.9928424720551
9910,14,13,111.97743943639567,23.948508794289936,88.02893064210573
6415,21,20,366.81070598821134,179.03004786209416,187.78065812611717
2379,9,9,216.74310998071644,81.43176733780699,135.31134264290944
2382,21,21,152.59110615633708,54.627949183303606,97.96315697303348
2454,12,12,275.8570813950838,111.4213197969543,164.43576159812952
2610,23,22,314.35425148111466,197.697368421053,116.65688306006166
2615,14,14,537.8604104327546,894.7299077733838,-356.8694973406292
2882,19,18,66.00587075396005,65.04599211563753,0.9598786383225217
2883,14,13,109.4876331124588,115.8693115519255,-6.381678439466711
2884,15,14,107.2602107318422,38.97280966767418,68.28740106416802
2885,18,17,112.86976513223159,49.376417233560346,63.493347898671246
2886,20,20,61.27323172303114,53.3674963396783,7.905735383352841
2887,17,16,131.9785954897856,55.6528662420388,76.32572924774679
2891,18,18,95.18173830293144,41.62561576354633,53.55612253938511
2892,16,16,68.34403665237079,32.95074127211826,35.39329538025253
5880,19,18,74.61671075950342,56.6099835436092,18.006727215894223
2317,15,15,86.08438230543835,24.09200968523013,61.99237262020822
2327,18,18,281.7161165078823,-1.9037930533353564,283.61990956121764
8046,16,15,1707.699411374028,905.7077625570786,801.9916488169494
2303,17,16,469.1798104605468,226.5017667844521,242.6780436760947
1301,19,19,58.496895800604996,12.607758620690056,45.88913717991494
1303,20,19,88.95202004171423,29.117647058823557,59.83437298289068
1326,20,20,61.97667728278709,-2.948402948403206,64.9250802311903
3045,14,13,19.343434937792914,2.464958917351656,16.87847602044126
