node,corr_A1_global,corr_A2_sector
S0,0.11325977845614879,0.17035112119727197
S1,0.18953404240804592,0.15385207109635402
S2,0.13358078237626925,0.13377568394219236
S3,0.1198111807399707,0.14300920351815377
S4,0.1589555440118662,0.14169582709383294
S5,0.11392520454128659,0.09991195831534556
S6,0.07972494624675937,0.07947342964223927
S7,0.1713598902232521,0.09179786093713987
S8,0.10181563932900786,0.15218115577859348
S9,0.06179566723836259,0.10245499329384691
S10,0.05139159833116622,0.06598597585187702
S11,0.08481053528750955,0.12221744708621603
S12,0.179290210334989,0.1041049052326339
S13,0.05921966819309612,0.07582472090843291
S14,0.09642195025631983,0.05051651253612046
S15,0.07096101869356315,0.14728314712739257
S16,0.09171237350437204,0.048238919448274534
S17,-0.0008653178757992985,0.062116224354154495
S18,0.16444202824615345,0.15313625080975815
S19,0.10742359411038313,0.20823525525217573
S20,0.03566873592628952,0.21728842907979712
S21,0.0249380386361368,0.04961621243439907
S22,0.08992347659565829,0.10890037268854909
S23,0.04987158831294812,0.08491296016050927
S24,0.03421694944076474,0.07918105878987908
S25,0.08741989637306258,0.12724739121469203
S26,0.0638378708219399,0.07581312328072869
S27,0.08011080126998489,0.030650310377164453
S28,0.04589904941775211,0.11829906737695513
S29,0.0673109835738002,0.04659445503735475
S30,0.07833252725943174,0.04545634607644712
S31,0.06685210848872732,0.015801790542293786
S32,0.21387654989942934,0.21132267682269518
S33,0.04889107925858237,0.015747586502755147
S34,0.035649421323426925,0.009870601801387244
S35,0.01824288386093325,0.014940005190849393
S36,0.11129411278936001,0.02649107206477085
S37,0.046394128051936954,0.06282949577141997
S38,0.12233192312027637,0.1018720141420848
S39,0.056934117095656024,0.08050963650703011
S40,0.13723344233200443,0.09309942526594803
S41,0.03248958788726363,0.09879625749442929
S42,0.07205410052020392,0.06964488720062906
S43,0.05853004987270294,0.06006840545148402
S44,0.10892563072546593,0.07508086000119615
S45,0.07198708958599348,0.04339768659645406
S46,-0.002794770276230893,0.04177580150906178
S47,0.0421850760160774,0.05053378586830985
S48,0.06865576501030622,0.05415417664790041
S49,0.16654895526739896,0.10728575954036501
